"district","LID","sen_slope","sen_signif","n_lakes"
"Lake Tekapo (Canterbury)","41306",-0.0666956183199745,0.465512169874187,42
"Lake Tekapo (Canterbury)","41354",-0.109157061722286,0.916965236628864,42
"Lake Tekapo (Canterbury)","41772",-0.118654159047743,0.175308080808274,42
"Lake Tekapo (Canterbury)","45686",0.103544422658209,0.916965236628864,42
"Lake Tekapo (Canterbury)","45692",0.275524155454918,0.465512169874187,42
"Lake Tekapo (Canterbury)","45693",0.176882958132093,0.916965236628864,42
"Lake Tekapo (Canterbury)","45718",-0.451066339870506,0.175308080808274,42
"Lake Tekapo (Canterbury)","45724",-0.170219251219238,0.602167527748196,42
"Lake Tekapo (Canterbury)","46407",-0.162652781040018,0.754454177494089,42
"Lake Tekapo (Canterbury)","46594",-0.308157122694336,0.465512169874187,42
"Lake Tekapo (Canterbury)","46700",-0.847504701872221,0.117850895021365,42
"Lake Tekapo (Canterbury)","46723",0.00150707136243129,1,42
"Lake Tekapo (Canterbury)","46724",-0.147992095862965,0.602167527748196,42
"Lake Tekapo (Canterbury)","46725",0.0344717120640978,0.754454177494089,42
"Lake Tekapo (Canterbury)","46835",-0.0634638519661813,0.602167527748196,42
"Lake Tekapo (Canterbury)","46918",-0.42896354267794,0.173546221787853,42
"Lake Tekapo (Canterbury)","46920",0.0127999719400013,0.916965236628864,42
"Lake Tekapo (Canterbury)","46922",0.337147062213577,0.465512169874187,42
"Lake Tekapo (Canterbury)","46954",0.324387000334808,0.602167527748196,42
"Lake Tekapo (Canterbury)","46956",0.182183183973435,0.602167527748196,42
"Lake Tekapo (Canterbury)","46957",0.470703133481755,0.348082623632924,42
"Lake Tekapo (Canterbury)","47143",-0.0214743281318764,0.916965236628864,42
"Lake Tekapo (Canterbury)","47193",-0.000515056964083251,1,42
"Lake Tekapo (Canterbury)","47198",0.238150288707666,0.602167527748196,42
"Lake Tekapo (Canterbury)","47199",0.119073961919489,0.754454177494089,42
"Lake Tekapo (Canterbury)","47206",-0.253356789986835,0.348082623632924,42
"Lake Tekapo (Canterbury)","47207",-0.0148124496168655,1,42
"Lake Tekapo (Canterbury)","47210",-0.840710705429996,0.0763327403763572,42
"Lake Tekapo (Canterbury)","47225",-0.412865717014701,0.0476039547278715,42
"Lake Tekapo (Canterbury)","47227",-0.0749041537503093,0.602167527748196,42
"Lake Tekapo (Canterbury)","47228",0.168945900664108,0.754454177494089,42
"Lake Tekapo (Canterbury)","47252",-0.458779540897238,0.465512169874187,42
"Lake Tekapo (Canterbury)","47254",-0.315071585714193,0.465512169874187,42
"Lake Tekapo (Canterbury)","47414",0.2878387977853,0.175308080808274,42
"Lake Tekapo (Canterbury)","47833",-0.613574558627297,0.117850895021365,42
"Lake Tekapo (Canterbury)","47859",-0.0122635862432472,0.916965236628864,42
"Lake Tekapo (Canterbury)","47860",-0.131021930790034,0.465512169874187,42
"Lake Tekapo (Canterbury)","47877",-0.188303992483547,0.754454177494089,42
"Lake Tekapo (Canterbury)","47892",0.0403781113272716,0.916965236628864,42
"Masterton (Wellington)","1974",0.096705593064736,0.916965236628864,10
