"date","LID","Name","LST","year"
2022-10-06,"44746","Tomahawk Lagoon",6.23020613935415,2022
2013-06-04,"54737","Lake Dunstan",7.39998507270536,2013
2013-06-04,"53532","Lake Wakatipu",10.0145689687301,2013
2013-06-04,"7689","Conroys Dam",4.68121449165466,2013
2016-08-08,"48660","Lake Pearson",2.29077426402506,2016
2021-08-20,"29727","0",2.31737415387221,2021
2021-05-25,"41306","Lake Camp",4.98571687959804,2021
2010-08-10,"15312","Lake Tikitapu                 (Blue Lake)",8.92038029975242,2010
2021-08-20,"29596","Lake Roe",0.517326910115003,2021
2010-08-10,"54731","Lake Okataina",10.0922894857171,2010
2001-06-10,"52652","0",5.09043981669873,2001
2016-08-08,"48700","Lake Letitia",2.84840399581077,2016
2011-07-26,"48700","Lake Letitia",4.35579599285245,2011
2014-09-29,"48177","Lake Ellesmere (Te Waihora)",12.8432820606425,2014
2021-09-14,"46723","Lake Moeraki",8.05697340338628,2021
2013-06-04,"53707","Lake Johnson",6.3290668960575,2013
2018-09-06,"7408","Lake Aviemore",6.86221428525698,2018
2014-07-02,"12469","Wainono Lagoon",2.89466327477481,2014
2013-06-04,"44599","Lake Tuakitoto",5.04683435916371,2013
2009-09-04,"52613","Lake Mcivor",2.3928708838331,2009
2008-08-09,"44405","0",2.58713993211228,2008
2003-08-12,"54742","Waituna Lagoon",1.95590270524599,2003
2008-04-19,"47198","Lake Mcgregor",10.6051940093404,2008
2019-09-18,"25002","Lake Stanley",5.98614838339176,2019
2006-06-24,"53338","South Mavora Lake",5.063609903854,2006
2013-06-06,"47579","Lake Forsyth (Lake Wairewa)",7.14479066599489,2013
2020-09-11,"47892","Lake Heron",6.7572860861053,2020
2021-05-25,"39226","Lake Ahaura",10.1205058955142,2021
2015-07-12,"39050","Lake Kaurapataka",4.00236874224606,2015
2015-07-12,"47090","Lake Rotokino",0.628491577637135,2015
2013-09-17,"7409","Lake Benmore",7.37311706220584,2013
2019-09-18,"24969","Cobb Reservoir",6.85483691507659,2019
2023-09-25,"45501","Kellands Pond",6.52838036373998,2023
2021-08-20,"11709","0",4.80389012861411,2021
2021-05-25,"41768","0",1.35175224295665,2021
2021-05-25,"48395","Ivory Lake",2.30664297791316,2021
2023-09-25,"11620","West Eweburn Dam",6.98020925488385,2023
2002-09-14,"36215","Runanga Lake",11.7364482152926,2002
2008-08-09,"12307","Lake Waitaki",5.35033775654961,2008
2020-09-11,"38665","Lady Lake",8.31837413061709,2020
2008-05-05,"45153","Lake Mahinerangi",7.71938648068317,2008
2013-09-17,"45153","Lake Mahinerangi",6.63385078589698,2013
2013-09-17,"44747","Tomahawk Lagoon",7.53277505110213,2013
2014-07-16,"53392","Lake Ned",0.880478309711748,2014
2021-05-25,"12406","0",2.36442783409422,2021
2013-05-28,"48660","Lake Pearson",5.85825955620197,2013
2023-09-25,"38955","Lake Poerua",9.86929524573526,2023
2013-09-17,"48455","Lake Ida",9.31388085172222,2013
2020-07-16,"28915","0",2.98123487883885,2020
2013-05-28,"48213","Lake Selfe",6.5057078943571,2013
2009-09-04,"53545","Lake Dispute",4.21260810133685,2009
2008-08-20,"32805","Hatuma Lake",6.94326063631667,2008
2021-08-20,"29821","Lake St Patrick",2.38047144506612,2021
2015-07-12,"38974","Lake Brunner / Moana",8.90785868041866,2015
2010-08-10,"40050","Lake Waikaremoana",7.97854772181319,2010
2016-06-07,"381","Henley Lake",7.93017699710725,2016
2010-08-10,"15312","Lake Tikitapu                 (Blue Lake)",8.91968452656477,2010
2010-08-10,"21370","Lake Rotopounamu",6.13777728610432,2010
2001-07-05,"45692","Lake Mueller",5.34689188552829,2001
2010-08-10,"14290","Lake Okaro",8.12266580681893,2010
2010-08-10,"36960","0",8.30852565831526,2010
2001-06-10,"52475","Lake Orbell",1.07219345749456,2001
2016-07-02,"56931","0",7.07146502995744,2016
2016-07-02,"56932","0",5.97431970582983,2016
2007-12-06,"48177","Lake Ellesmere (Te Waihora)",16.5017015339067,2007
2011-04-28,"1553","Lake Onslow",7.56561540937173,2011
2008-05-05,"56935","0",8.93210838685991,2008
2013-09-17,"38638","Kapitia Reservoir",10.9907705385477,2013
2011-04-28,"47414","Ice Lake",4.56355782125593,2011
2011-04-28,"53392","Lake Ned",6.43026687838096,2011
2013-05-28,"37717","Lake Browning / Whakarewa",0.98913006367593,2013
2011-04-28,"53145","Lake Nigel",6.4995746985611,2011
2007-12-06,"41354","Lake Roundabout",16.7233070898681,2007
2007-12-06,"38421","Lake Mahinapua",20.5655170060575,2007
2007-12-06,"38955","Lake Poerua",19.0006768966005,2007
2006-06-24,"52592","Lake Mackinnon",0.754512261980096,2006
2020-07-16,"52306","0",0.205826106311974,2020
2018-09-08,"25212","Lake Guyon",5.33451952464884,2018
2021-08-20,"26085","0",1.25810227348478,2021
2006-06-24,"52397","Lake Te Au",2.34242704028003,2006
2018-09-08,"27286","Lake Mcrae",5.36126857642205,2018
2001-05-27,"39056","Lake Minchin",3.43485807007602,2001
2018-09-08,"27762","Lake Rotoiti",6.73171166768509,2018
2007-12-06,"38638","Kapitia Reservoir",19.7701044609025,2007
2010-08-10,"54732","Lake Tarawera",10.1501701448998,2010
2008-08-09,"44746","Tomahawk Lagoon",3.12551182909021,2008
2011-07-26,"47892","Lake Heron",1.60356765385745,2011
2009-09-04,"53549","Moke Lake",3.9440945786049,2009
2018-06-02,"45153","Lake Mahinerangi",5.66914980511154,2018
2011-07-26,"48597","Lake Lyndon",1.66755212716066,2011
2021-08-20,"28923","0",3.29054664834717,2021
2021-05-27,"1708","Lake Wairarapa",5.50017815484682,2021
2003-08-12,"44391","Lake Waihola",4.27209049948908,2003
2003-08-12,"53392","Lake Ned",0.781897039441276,2003
2003-08-12,"5264","0",1.58197522937041,2003
