"site","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon"
"Queenstown (Otago)","1972-01-01","2022-12-31",2.9954796915703513e-5,NA,NA,NA,NA,4.0131666178542424,"Mann-Kendall",51,NA,495,15152.333333333334,0.3891520257224738,"greater","Very likely increasing",-45.01758,168.74005
"Reefton (West Coast)","1972-01-01","2022-12-31",2.0468865894071022e-5,NA,NA,NA,NA,4.102122559457215,"Mann-Kendall",51,NA,506,15155.333333333334,0.39733046800060345,"greater","Very likely increasing",-42.11578,171.86014
"Rotorua (Bay of Plenty)","1972-01-01","2022-12-31",0.06646354901925362,NA,NA,NA,NA,1.5026586220938978,"Mann-Kendall",51,NA,186,15157.333333333334,0.14593959538126097,"greater","Very likely increasing",-38.10595,176.31485
"Tara Hills (Canterbury)","1972-01-01","2022-12-31",0.0026680587230252643,NA,NA,NA,NA,2.78601031015247,"Mann-Kendall",51,NA,344,15157.333333333334,0.2699097893072784,"greater","Very likely increasing",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.8545060945172658,NA,NA,NA,NA,-1.0559571087680848,"Mann-Kendall",51,NA,-131,15156.333333333334,-0.10282577735909879,"greater","Likely decreasing",-38.88784,175.25981
"Taupō (Waikato)","1972-01-01","2022-12-31",0.25787200650658243,NA,NA,NA,NA,0.6499198227798869,"Mann-Kendall",51,NA,81,15151.666666666666,0.06367942239095026,"greater","Likely increasing",-38.74263,176.08104
"Tauranga (Bay of Plenty)","1972-01-01","2022-12-31",3.328341622190587e-7,NA,NA,NA,NA,4.971121158200522,"Mann-Kendall",51,NA,613,15156.333333333334,0.4811618436727294,"greater","Very likely increasing",-37.673,176.196
"Timaru (Canterbury)","1972-01-01","2022-12-31",0.36342728504418426,NA,NA,NA,NA,0.34931269326647546,"Mann-Kendall",51,NA,44,15153.333333333334,0.034577669874871646,"greater","Indeterminate",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","1972-01-01","2022-12-31",1.0556228088885456e-4,NA,NA,NA,NA,3.7053193471543904,"Mann-Kendall",51,NA,447,14488.333333333334,0.37830786570867225,"greater","Very likely increasing",-39.46249,175.66283
"Wellington (Wellington)","1972-01-01","2022-12-31",0.29685886447845256,NA,NA,NA,NA,0.5334563359132584,"Mann-Kendall",51,NA,66,14846.666666666666,0.05413019205077643,"greater","Likely increasing",-41.285,174.768
"Whanganui (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.02562030069976801,NA,NA,NA,NA,1.9494592777256947,"Mann-Kendall",51,NA,241,15156.333333333334,0.18916803315681532,"greater","Very likely increasing",-39.93704,175.04509
"Whangaparāoa (Auckland)","1972-01-01","2022-12-31",2.0503911560483897e-4,NA,NA,NA,NA,3.5335115116116604,"Mann-Kendall",51,NA,436,15155.333333333334,0.34236380246692316,"greater","Very likely increasing",-36.606,174.835
"Whangārei (Northland)","1972-01-01","2022-12-31",0.11309160820750304,NA,NA,NA,NA,1.2102493767134637,"Mann-Kendall",51,NA,150,15157.333333333334,0.11769322208166208,"greater","Likely increasing",-35.769,174.364
