"site","statistic","month","year","data_value","lat","lon","unit"
"Auckland","Average max gust",8,2004,43.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2005,34.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2006,42.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2007,49.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2008,48.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2009,45.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2010,45,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2011,36.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2012,39.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2013,42.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2014,46.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2015,40.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2016,40.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2017,40.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2018,40.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2019,52.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2020,45.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2021,48.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2022,38.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,1995,42.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,1996,42,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,1997,43.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,1998,44.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,1999,39.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2000,44.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2001,37,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2002,48.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2003,52.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2004,48.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2005,44.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2006,38.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2007,37.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2008,42.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2009,40.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2010,55.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2011,47.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2012,51.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2013,50,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2014,47.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2015,44.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2016,43.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2017,47.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2018,43.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2019,48.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2020,47.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2021,46.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",9,2022,39.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,1995,44,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,1996,45.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,1997,50,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,1998,53.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,1999,39.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2000,49.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2001,44.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2002,48.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2003,45,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2004,47.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2005,44.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2006,50.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2007,53.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2008,49,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2009,48.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2010,43,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2011,44.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2012,54.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2013,48.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2014,48.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2015,45.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2016,46,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2017,45.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2018,38.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2019,50.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2020,38.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2021,44.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",10,2022,41.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,1995,44.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,1996,50.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,1997,49.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,1998,42.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,1999,45.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2000,45,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2001,46,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2002,49.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2003,46.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2004,45.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2005,44,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2006,48.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2007,40,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2008,45.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2009,46.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2010,36.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2011,48.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2012,41.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2013,40.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2014,49,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2015,41.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2016,49.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2017,39.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2018,41,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2019,42.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2020,45.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2021,36,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",11,2022,46.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,1995,45,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,1996,43.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,1997,39.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,1998,42.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,1999,42.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2000,40.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2001,44.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2002,41.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2003,40.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2004,54.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2005,46.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2006,46.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2007,42.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2008,43.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2009,44.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2010,41.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2011,43.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2012,41.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2013,40.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2014,41.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2015,42.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2016,42.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2017,40.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2018,42.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2019,45.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2020,44.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2021,41.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",12,2022,37.9,-37.00813,174.78873,"km/hr"
"Auckland","Days above p99",1,1995,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,1996,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,1997,2,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,1998,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,1999,0,-37.00813,174.78873,"Days"
