"LID","Type","State","PredictedValue","LowerCI","UpperCI"
"6867","Total Phosphorus","Current",12.6619108833425,7.21200393948431,22.4635873018549
"6867","Total Phosphorus","Reference",4.94975900213419,1.49742443505531,16.2218932977975
"6914","Total Nitrogen","Current",561.788347917754,388.245809294026,862.393500151209
"6914","Total Nitrogen","Reference",141.022895555491,70.1586883585904,257.479944609865
"6914","Total Phosphorus","Current",11.4749834095715,6.67637798192111,20.8542673905013
"6914","Total Phosphorus","Reference",4.99684061391308,2.50247247853065,9.90869801006856
"7113","Total Nitrogen","Current",1466.26741292237,933.632769484107,2443.65388150348
"7113","Total Nitrogen","Reference",250.319804839817,135.245752894958,482.721546602278
"7113","Total Phosphorus","Current",25.9277145136469,15.6543729123502,42.5934301349285
"7113","Total Phosphorus","Reference",6.77634125726964,3.3336416589138,14.7161428110648
"7382","Total Nitrogen","Current",188.739095440768,125.63628260087,279.996896777475
"7382","Total Nitrogen","Reference",147.258303291099,71.1987182916673,278.267309597262
"7382","Total Phosphorus","Current",13.1652504753193,7.64363035936433,23.5400168688148
"7382","Total Phosphorus","Reference",5.10087061804076,3.43573760710829,7.79683793384679
"7386","Total Nitrogen","Current",166.519395731597,100.745400103989,254.776293252892
"7386","Total Nitrogen","Reference",146.439419978027,71.4969410225849,285.673151988039
"7386","Total Phosphorus","Current",8.63863475415793,5.47682682988424,13.9027800140449
"7386","Total Phosphorus","Reference",4.95323823792935,3.8930430672164,6.54320741111215
"7408","Total Nitrogen","Current",79.7467433833145,51.1772974934528,126.054400217813
"7408","Total Nitrogen","Reference",135.283983102963,72.7565609794603,297.326017619358
"7408","Total Phosphorus","Current",13.0294762377742,7.45256628904787,23.477093634027
"7408","Total Phosphorus","Reference",8.23312313051584,5.72002609443925,12.0436981237208
"7409","Total Nitrogen","Current",99.7140614220181,65.297287758551,147.441124184983
"7409","Total Nitrogen","Reference",141.879827709999,79.9875529008041,284.076838775263
"7409","Total Phosphorus","Current",9.19500422559132,5.4804510645236,15.8495691095057
"7409","Total Phosphorus","Reference",7.37892890213449,5.18464070124976,10.9045742812172
"7506","Total Nitrogen","Current",206.089792689743,128.304257502214,340.100143556111
"7506","Total Nitrogen","Reference",154.600788540647,82.163697780724,346.886856995088
"7506","Total Phosphorus","Current",20.3106739939411,11.5399029425071,37.8118024975699
"7506","Total Phosphorus","Reference",8.35100515465428,5.47557707207922,13.0504930407587
"7512","Total Nitrogen","Current",255.387694080105,172.066755816399,372.490740804376
"7512","Total Nitrogen","Reference",249.651541067751,128.767076619821,496.871602450276
"7512","Total Phosphorus","Current",16.3537408093412,10.0025134736052,26.5206325557543
"7512","Total Phosphorus","Reference",8.45650933674156,5.63855649871801,13.2794986962441
"7537","Total Nitrogen","Current",545.143321338092,378.314261895337,854.162427155684
"7537","Total Nitrogen","Reference",228.471722866592,126.38653141337,423.83974654915
"7537","Total Phosphorus","Current",70.1806349024385,34.9836891686278,138.147386612203
"7537","Total Phosphorus","Reference",7.92188287207863,3.45127657720425,18.3681606966404
"7605","Total Nitrogen","Current",888.430143720213,565.930292359549,1425.02064280417
"7605","Total Nitrogen","Reference",152.93093154316,76.8680255755225,280.505830304152
"7605","Total Phosphorus","Current",56.3806174435187,28.6060447700826,110.938879823471
"7605","Total Phosphorus","Reference",5.9025319987136,3.38822496666603,10.230083922151
"7633","Total Nitrogen","Current",94.4312608417117,60.5394191253227,139.748612115676
"7633","Total Nitrogen","Reference",127.472147504707,70.5502849246861,267.012164318859
"7633","Total Phosphorus","Current",25.480388842211,11.9283748420471,50.5651310283849
"7633","Total Phosphorus","Reference",8.14022343414976,4.71921996796068,13.6379566094936
"7640","Total Nitrogen","Current",383.162295747734,263.870320514322,543.423030368189
"7640","Total Nitrogen","Reference",156.442726817848,76.9981507346658,297.422612580202
"7640","Total Phosphorus","Current",38.5867630113531,21.922113529201,66.8419740310742
"7640","Total Phosphorus","Reference",5.71990212390363,4.13806385423682,8.23318376834506
"7657","Total Nitrogen","Current",138.113600319858,89.0338412082268,199.510613992921
"7657","Total Nitrogen","Reference",134.015087905108,72.7092745124222,238.947305176621
"7657","Total Phosphorus","Current",17.9643390458251,10.7816604850312,30.5027626504723
"7657","Total Phosphorus","Reference",5.35172979469362,4.08294629343445,7.12196992866989
"7660","Total Nitrogen","Current",163.544494682189,107.743110931526,238.311731050554
"7660","Total Nitrogen","Reference",136.034760711133,71.8463514844694,249.184963806366
"7660","Total Phosphorus","Current",24.2128446191328,14.7958018143392,41.0924853782053
"7660","Total Phosphorus","Reference",5.61117536255976,4.40807567188692,7.34767647230703
"7688","Total Nitrogen","Current",581.130350665982,398.134260995274,915.562903948544
"7688","Total Nitrogen","Reference",201.525250975455,107.14015391197,370.98424070452
"7688","Total Phosphorus","Current",18.9160505538644,11.6161934421636,31.3572328982551
"7688","Total Phosphorus","Reference",6.49745158173856,3.4168288694971,12.6736456650153
"7689","Total Nitrogen","Current",520.399257393726,346.478385257804,794.173553546727
"7689","Total Nitrogen","Reference",144.01598321443,71.5674458912634,255.421715994512
"7689","Total Phosphorus","Current",23.6479100654342,14.5716688935524,38.385096058824
