LID,lat,MaxDepth,Catch_area,LakeAreaHa,LakeVolume,LakeElevat,SumWind,MeanWind,CatSlope,CatPhos,CatHard,lambda_dom_std,lambda_dom_median,lambda_dom_hidecile,purity_std,purity_median,chl_median,Name,TotalSUDensity,Prop_Dairy,PastureHeavy,Wetland,Forestry,PastureLight,Exotic,Native,Bare,Urban,Fetch_sqrt
25492,-41.4732688924476,3.23025,8907209.807724,11.0313,118780.0,3.26,3.66,3.22308,0.14,3.95,2.28,,,,,,, ,14.2698334329193,0.031004862019282,97.92077193899999,0.0,0.0,0.0,0.0,0.456798966,0.0,1.622429096,23.68543856465402
25501,-41.3162614800437,18.3627,4464571.9124119,1.14934,70350.3,102.16,4.32,3.8922,26.64,3.0,4.0,,,,,,10.86261390200135, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,14.832396974191326
25519,-40.6850706159301,9.09601,17991940.948661,84.6515,2566640.0,4.75,4.48,4.32255,11.88,2.23,3.89,2.57215168013857,572.406791969801,575.756939054155,15.2379675455481,51.6905427892367,13.1829533333333,Lake Otuhie,0.0620548458995493,0.0,1.261889312,1.413472973,0.0,2.9921302,0.0,94.33250752,0.0,0.0,42.0
25535,-41.0927330663704,2.91962,54681.7808529,1.15218,11213.1,2.22,2.13,1.82699,0.17,3.0,2.0,,,,,,, ,0.0,0.0,79.16975538,20.83024463,0.0,0.0,0.0,0.0,0.0,0.0,17.320508075688775
25550,-41.2176966479914,12.7121,1097900.7419507,1.86892,79193.2,42.63,2.51,2.13001,3.67,1.0,3.0,28.6758946102482,558.902472616795,569.093835480701,10.3996042052139,6.4692307015884,, ,69.619575362391,0.0,89.363766392,4.474834253,0.0,0.0,6.040667257,0.0,0.0,0.120732101,14.832396974191326
25551,-41.2255101578697,14.7359,1200153.028131,1.57124,77178.9,53.59,2.57,2.19757,3.48,1.0,3.0,,,,,,, ,69.544280507641,0.0,98.21896384499999,0.0,1.466100497,0.184333772,0.130601891,0.0,0.0,0.0,14.142135623730951
25570,-41.2347998093666,6.78234,3819160.9432351,2.80374,63386.5,8.12,3.41,2.73592,15.39,1.48,2.75,,,,,,, ,1.47646128267926,0.0,19.01604819,0.0,8.550345213,4.477458325,9.506145565,40.891427696,0.0,17.558575021,18.973665961010276
25582,-40.9424197404528,8.73381,49979.2843191,1.49201,43436.3,70.87,2.13,1.77913,3.41,3.26,3.26,,,,,,, ,13.6012606123998,0.954500329399764,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24744871391589
25628,-40.9365590200994,6.80413,1023512.3829541,2.68848,60975.9,14.73,5.7,5.53325,13.33,2.7,4.0,,,,,,30.90514965, ,1.8187117294927,0.0007562830578414,16.76129821,0.0,0.0,0.0,0.0,80.21375719100001,3.024944591,0.0,15.811388300841896
25687,-41.5728741858468,14.5749,782893.5310634,3.62803,176260.0,57.13,4.08,3.77852,8.62,3.25,2.59,,,,,,20.2776384954352, ,0.169183414092517,0.0,94.04699991,0.0,3.164408973,0.0,0.0,2.788591122,0.0,0.0,19.235384061671343
